{'embedding_size': 256, 'hidden_size': 256, 'learning_rate': 0.001, 'epoch_num': 500, 'try_one_batch': False}
{'train_loss': 5.473140748341878, 'val_loss': 5.695139829317728, 'bleu_score': 0.009320189557452663}
{'train_loss': 4.247014858325323, 'val_loss': 4.80351710319519, 'bleu_score': 0.02736745531839771}
{'train_loss': 3.5385226726531984, 'val_loss': 4.203214867909749, 'bleu_score': 0.05377913839248846}
{'train_loss': 3.0227255870898566, 'val_loss': 3.780718517303467, 'bleu_score': 0.0650683864960657}
{'train_loss': 2.6530247956514357, 'val_loss': 3.5158822615941365, 'bleu_score': 0.08170710096337883}
{'train_loss': 2.390816471974055, 'val_loss': 3.3294000228246055, 'bleu_score': 0.08894784568265476}
{'train_loss': 2.2011908302704493, 'val_loss': 3.186405380566915, 'bleu_score': 0.10717654438424623}
{'train_loss': 2.0559061204393703, 'val_loss': 3.0767256458600363, 'bleu_score': 0.11339855279555294}
{'train_loss': 1.9387836381793022, 'val_loss': 2.9610575517018636, 'bleu_score': 0.12042991445525442}
{'train_loss': 1.8390888760487238, 'val_loss': 2.9006811221440634, 'bleu_score': 0.1356544113686798}
{'train_loss': 1.7579594030976295, 'val_loss': 2.793575139840444, 'bleu_score': 0.12860536488988172}
{'train_loss': 1.6843269596497217, 'val_loss': 2.7823354919751484, 'bleu_score': 0.14301879115516852}
{'train_loss': 1.622931572298209, 'val_loss': 2.7114513595898946, 'bleu_score': 0.1400822176117964}
{'train_loss': 1.5673809011777242, 'val_loss': 2.6559781432151794, 'bleu_score': 0.1370602045339603}
{'train_loss': 1.519322041173776, 'val_loss': 2.6248475273450214, 'bleu_score': 0.1424441171338258}
{'train_loss': 1.4758916636308035, 'val_loss': 2.6133846441904702, 'bleu_score': 0.1451357263764187}
{'train_loss': 1.4365387126803397, 'val_loss': 2.551359474658966, 'bleu_score': 0.14851543952476493}
{'train_loss': 1.4016804983218512, 'val_loss': 2.5492772221565247, 'bleu_score': 0.1456065620567185}
{'train_loss': 1.370991509159406, 'val_loss': 2.5161051551500955, 'bleu_score': 0.16562421666148514}
{'train_loss': 1.3411353965600332, 'val_loss': 2.4939932386080423, 'bleu_score': 0.15289917236182443}
{'train_loss': 1.3141388937830925, 'val_loss': 2.5061870018641152, 'bleu_score': 0.14987131976147966}
{'train_loss': 1.2881377403934797, 'val_loss': 2.476930312315623, 'bleu_score': 0.15437761019534513}
{'train_loss': 1.2656806588172913, 'val_loss': 2.4546526074409485, 'bleu_score': 0.1629106656699592}
{'train_loss': 1.2448505704601607, 'val_loss': 2.462936441103617, 'bleu_score': 0.14824324648322718}
{'train_loss': 1.224310339987278, 'val_loss': 2.441281565030416, 'bleu_score': 0.15800426449985128}
{'train_loss': 1.2038831194241841, 'val_loss': 2.4433181524276733, 'bleu_score': 0.13831337559162632}
{'train_loss': 1.187634991109371, 'val_loss': 2.427179789543152, 'bleu_score': 0.15001970795178138}
{'train_loss': 1.1699788699547449, 'val_loss': 2.4113141298294067, 'bleu_score': 0.156315126400822}
{'train_loss': 1.154389682908853, 'val_loss': 2.394871930281321, 'bleu_score': 0.15693909539414946}
{'train_loss': 1.1381814072529475, 'val_loss': 2.3916917284329733, 'bleu_score': 0.18014821701060157}
{'train_loss': 1.125231395661831, 'val_loss': 2.38792785803477, 'bleu_score': 0.17161619287451588}
{'train_loss': 1.110934378951788, 'val_loss': 2.3863869468371073, 'bleu_score': 0.18106570606937222}
{'train_loss': 1.0978167484203973, 'val_loss': 2.3817108392715456, 'bleu_score': 0.16990649842337158}
{'train_loss': 1.0856600965062777, 'val_loss': 2.3545894742012026, 'bleu_score': 0.1682639849079026}
{'train_loss': 1.0734279103577138, 'val_loss': 2.352679447333018, 'bleu_score': 0.18341554196025228}
{'train_loss': 1.0617766338090102, 'val_loss': 2.3559395114580792, 'bleu_score': 0.1757824238532391}
{'train_loss': 1.0501964010298253, 'val_loss': 2.3476462086041767, 'bleu_score': 0.18393295754035405}
{'train_loss': 1.0406544710199037, 'val_loss': 2.3488239010175067, 'bleu_score': 0.17703821893859523}
{'train_loss': 1.030147531380256, 'val_loss': 2.342733860015869, 'bleu_score': 0.17234327552685302}
{'train_loss': 1.0235023957987626, 'val_loss': 2.339934714635213, 'bleu_score': 0.18804853890507742}
{'train_loss': 1.0119015162189802, 'val_loss': 2.3242209911346436, 'bleu_score': 0.18875172702574577}
{'train_loss': 1.0020022474229335, 'val_loss': 2.3278992931048075, 'bleu_score': 0.19315792027698575}
{'train_loss': 0.9950246964891751, 'val_loss': 2.334010187784831, 'bleu_score': 0.19089922240963844}
{'train_loss': 0.9865428944428761, 'val_loss': 2.325536008675893, 'bleu_score': 0.17905225545709805}
{'train_loss': 0.9790512238939603, 'val_loss': 2.3137391805648804, 'bleu_score': 0.17618975195519243}
{'train_loss': 0.9712588419516881, 'val_loss': 2.3137563824653626, 'bleu_score': 0.17754111013146856}
{'train_loss': 0.9622483924031258, 'val_loss': 2.3153872450192767, 'bleu_score': 0.18257092920764417}
{'train_loss': 0.9568729723493258, 'val_loss': 2.3185246109962465, 'bleu_score': 0.18335866130232817}
{'train_loss': 0.9492813356220722, 'val_loss': 2.31158732175827, 'bleu_score': 0.18615084377329277}
{'train_loss': 0.9431582940121491, 'val_loss': 2.3167009671529133, 'bleu_score': 0.19455259954285414}
{'train_loss': 0.9363449240724245, 'val_loss': 2.307885448137919, 'bleu_score': 0.16466537582887664}
{'train_loss': 0.9287208750844002, 'val_loss': 2.302042861779531, 'bleu_score': 0.2051428577494207}
